clipart_id,url,clipart_name,clipart_category_name
8637199,https://cdn.teeinblue.com/users/2419/cliparts/973736/660583dcd369c_large.webp,Fijne Moederdag,text
8637186,https://cdn.teeinblue.com/users/2419/cliparts/973736/6605835e701d6_large.webp,"Schijt aan moederdag, we houden elke dag van je!",text
8637183,https://cdn.teeinblue.com/users/2419/cliparts/973736/6605835d8a05e_large.webp,"Schijt aan (Fijne) moederdag, we houden ELKE DAG van je!",text
27278862,https://cdn.teeinblue.com/users/2419/cliparts/973736/69c40b55a194f_large.webp,"Schijt aan Vaderdag, Ik hou elke dag van je!",text
27278837,https://cdn.teeinblue.com/users/2419/cliparts/973736/69c40afbb4ea2_large.webp,"Schijt aan Vaderdag, we houden elke dag van je!",text
8637185,https://cdn.teeinblue.com/users/2419/cliparts/973736/6605835e6ab1d_large.webp,"Schijt aan moederdag, ik hou elke dag van je!",text
27278835,https://cdn.teeinblue.com/users/2419/cliparts/973736/69c40afb93d97_large.webp,Fijne Vaderdag,text
8226043,https://cdn.teeinblue.com/users/2419/cliparts/926043/65bcf0c54dd77_large.webp,"Vergiss Muttertag, ich liebe dich jeden Tag!",Textauswahl
8202059,https://cdn.teeinblue.com/users/2419/cliparts/926043/65b90e30735f0_large.webp,"Scheiß auf Muttertag, wir lieben dich jeden Tag!",Textauswahl
8868669,https://cdn.teeinblue.com/users/2419/cliparts/998720/662f5080883ba_large.webp,"Vergiss Vatertag, wir lieben dich jeden Tag!",Text
8868665,https://cdn.teeinblue.com/users/2419/cliparts/998720/662f507ea6107_large.webp,"Scheiß auf Vatertag, wir lieben dich jeden Tag!",Text
27273198,https://cdn.teeinblue.com/users/2419/cliparts/2350489/69c3e3f54675f_large.webp,"Scheiß auf Vatertag, wir lieben dich jeden Tag!",Mama und Papa Sprüche
27273204,https://cdn.teeinblue.com/users/2419/cliparts/2350489/69c3e3f5682e1_large.webp,"Vergiss Vatertag, wir lieben dich jeden Tag!",Mama und Papa Sprüche
27174926,https://cdn.teeinblue.com/users/2419/cliparts/2337869/69bc15c0415ab_large.webp,"Scheiß auf Muttertag, wir lieben dich jeden Tag!",Jeden Tag Beige
27174925,https://cdn.teeinblue.com/users/2419/cliparts/2337869/69bc15c031b16_large.webp,"Glück ist, eine Oma wie dich zu haben!",Jeden Tag Beige
27174924,https://cdn.teeinblue.com/users/2419/cliparts/2337869/69bc15bfd8dd5_large.webp,"Glück ist, eine Mama wie dich zu haben!",Jeden Tag Beige
27174923,https://cdn.teeinblue.com/users/2419/cliparts/2337869/69bc15bf3d6ce_large.webp,"Scheiß auf Muttertag, ich liebe dich jeden Tag!",Jeden Tag Beige
27174922,https://cdn.teeinblue.com/users/2419/cliparts/2337869/69bc15bf0bdc3_large.webp,"Glück ist, einen Papa wie dich zu haben!",Jeden Tag Beige
27174919,https://cdn.teeinblue.com/users/2419/cliparts/2337869/69bc15beb9b65_large.webp,"Scheiß auf Vatertag, ich liebe dich jeden Tag!",Jeden Tag Beige
27254781,https://cdn.teeinblue.com/users/2419/cliparts/2348209/69c2a7391bf4f_large.webp,O,NEU
27254773,https://cdn.teeinblue.com/users/2419/cliparts/2348209/69c2a737b5ca2_large.webp,E,NEU
